id,topology,noise_p,purification,policy,success,fidelity,hops,path,latency_ms
133,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
134,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
135,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
136,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
137,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
138,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
139,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
140,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
141,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
142,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
143,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
144,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
145,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
146,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
147,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
148,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
149,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
150,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
151,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
152,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
153,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
154,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
155,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
156,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
157,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
158,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
159,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
160,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
161,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
162,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
163,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
164,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
165,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
166,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
167,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
168,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
169,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
